Awareness of Alternative Pathways,Likelihood of Pursuing CPA,Graduate Program Satisfaction
Somewhat Unaware,Somewhat Unlikely,Satisfied
Not Aware,Very Likely,Neutral
Neutral,Somewhat Unlikely,Very Satisfied
Not Aware,Very Unlikely,Very Satisfied
Not Aware,Very Unlikely,Dissatisfied
Somewhat Aware,Very Unlikely,Neutral
Neutral,Neutral,Very Dissatisfied
Neutral,Somewhat Unlikely,Neutral
Neutral,Neutral,Dissatisfied
Not Aware,Very Unlikely,Dissatisfied
Somewhat Unaware,Very Likely,Neutral
Neutral,Neutral,Dissatisfied
Not Aware,Very Unlikely,Neutral
Somewhat Aware,Neutral,Satisfied
Somewhat Unaware,Very Likely,Neutral
Somewhat Aware,Very Unlikely,Neutral
Somewhat Unaware,Somewhat Likely,Dissatisfied
Not Aware,Neutral,Dissatisfied
Very Aware,Very Likely,Very Satisfied
Somewhat Unaware,Somewhat Likely,Very Satisfied
Somewhat Aware,Somewhat Likely,Satisfied
Not Aware,Very Unlikely,Very Satisfied
Somewhat Unaware,Very Unlikely,Neutral
Very Aware,Very Likely,Dissatisfied
Very Aware,Very Likely,Very Satisfied
Neutral,Somewhat Unlikely,Very Satisfied
Neutral,Very Unlikely,Satisfied
Somewhat Aware,Somewhat Unlikely,Satisfied
Somewhat Unaware,Very Unlikely,Neutral
Somewhat Unaware,Very Unlikely,Dissatisfied
Neutral,Neutral,Satisfied
Somewhat Unaware,Very Unlikely,Very Satisfied
Somewhat Unaware,Somewhat Unlikely,Dissatisfied
Very Aware,Very Likely,Dissatisfied
Neutral,Neutral,Very Satisfied
Not Aware,Very Unlikely,Satisfied
Neutral,Somewhat Unlikely,Very Satisfied
Not Aware,Very Unlikely,Dissatisfied
Very Aware,Very Likely,Very Dissatisfied
Somewhat Aware,Very Unlikely,Very Dissatisfied
Somewhat Unaware,Very Likely,Neutral
Very Aware,Very Unlikely,Very Satisfied
Somewhat Unaware,Somewhat Unlikely,Very Satisfied
Somewhat Aware,Somewhat Unlikely,Neutral
Somewhat Aware,Somewhat Unlikely,Neutral
Very Aware,Very Likely,Neutral
Somewhat Aware,Somewhat Unlikely,Dissatisfied
Not Aware,Very Unlikely,Very Satisfied
Somewhat Aware,Somewhat Likely,Dissatisfied
Somewhat Unaware,Somewhat Unlikely,Neutral
Somewhat Unaware,Very Likely,Very Satisfied
Somewhat Unaware,Very Likely,Dissatisfied
Somewhat Unaware,Very Likely,Dissatisfied
Not Aware,Very Unlikely,Neutral
Neutral,Neutral,Very Satisfied
Very Aware,Very Likely,Neutral
Somewhat Unaware,Somewhat Unlikely,Very Satisfied
Somewhat Aware,Very Unlikely,Very Dissatisfied
Somewhat Unaware,Very Likely,Satisfied
Somewhat Aware,Neutral,Satisfied
Somewhat Aware,Neutral,Satisfied
Somewhat Unaware,Very Likely,Neutral
Not Aware,Very Unlikely,Very Dissatisfied
Somewhat Aware,Very Likely,Very Satisfied
Somewhat Aware,Neutral,Dissatisfied
Somewhat Unaware,Somewhat Likely,Very Satisfied
Somewhat Aware,Somewhat Unlikely,Dissatisfied
Somewhat Aware,Neutral,Very Satisfied
Somewhat Unaware,Very Likely,Very Dissatisfied
Somewhat Unaware,Somewhat Unlikely,Dissatisfied
Very Aware,Very Likely,Neutral
Not Aware,Very Likely,Very Satisfied
Not Aware,Very Unlikely,Very Satisfied
Somewhat Aware,Somewhat Unlikely,Dissatisfied
Not Aware,Very Unlikely,Neutral
Somewhat Aware,Somewhat Likely,Neutral
Very Aware,Neutral,Very Dissatisfied
Somewhat Unaware,Very Likely,Neutral
Somewhat Unaware,Very Unlikely,Neutral
Somewhat Unaware,Very Likely,Neutral
Not Aware,Very Unlikely,Satisfied
Very Aware,Very Likely,Very Dissatisfied
Not Aware,Very Unlikely,Very Satisfied
Not Aware,Somewhat Likely,Dissatisfied
Very Aware,Somewhat Likely,Very Satisfied
Very Aware,Somewhat Unlikely,Very Dissatisfied
Very Aware,Very Unlikely,Dissatisfied
Very Aware,Very Likely,Very Dissatisfied
Somewhat Unaware,Very Likely,Neutral
Neutral,Neutral,Dissatisfied
Neutral,Somewhat Likely,Neutral
Very Aware,Very Unlikely,Very Satisfied
Neutral,Somewhat Unlikely,Very Satisfied
Neutral,Somewhat Likely,Dissatisfied
Very Aware,Very Likely,Dissatisfied
Neutral,Neutral,Very Dissatisfied
Not Aware,Very Unlikely,Very Dissatisfied
Somewhat Aware,Very Likely,Neutral
Somewhat Aware,Very Unlikely,Dissatisfied
Very Aware,Somewhat Unlikely,Very Satisfied
